// List of Teams and their ID's:
//3 => ID of Baltimore Orioles
//4 => ID of Boston Red Sox
//18 => ID of New York Yankees
//27 => ID of Tampa Bay Rays
//29 => ID of Toronto Blue Jays
//5 => ID of Chicago White Sox
//8 => ID of Cleveland Guardians
//10 => ID of Detroit Tigers
//13 => ID of Kansas City Royals
//17 => ID of Minnesota Twins
//14 => ID of Los Angeles Angels
//20 => ID of Athletics
//24 => ID of Seattle Mariners
//28 => ID of Texas Rangers
//12 => ID of Houston Astros
//2 => ID of Atlanta Braves
//11 => ID of Miami Marlins
//19 => ID of New York Mets
//21 => ID of Philadelphia Phillies
//30 => ID of Washington Nationals
//6 => ID of Chicago Cubs
//7 => ID of Cincinnati Reds
//16 => ID of Milwaukee Brewers
//22 => ID of Pittsburgh Pirates
//26 => ID of St. Louis Cardinals
//1 => ID of Arizona Diamondbacks
//9 => ID of Colorado Rockies
//15 => ID of Los Angeles Dodgers
//23 => ID of San Diego Padres
//25 => ID of San Francisco Giants
//
//
//id, del, team_id, Team Name, League Name, LastName, FirstName, NickName, UniformNumber, DayOB, MonthOB, YearOB, NationalityID, Nation, CityID, City, facial_type, Height (cm), Weight (kg), Bats, Throws, Position, ML Service, 40 man roster service, pro years, options used, Contact vL, Gap vL, Power vL, Eye vL, Avoid K vL, BABIP vL, Contract Vr, Gap Vr, Power vR, Eye vR, Ks vR, BABIP vR, Contact Pot, Gap Pot, Power Pot, Eye Pot, Ks Pot, BABIP Pot, HBP, GB Batter type, FB Batter type, speed, steal rate, steal, running, sac bunt, bunt hit,Move vL, Control vL, Movement vR, Control vR, Move Pot, Control Pot, HBP, WP, Balk, Stamina, Hold, GB%, Velocity, ArmSlot, Infield Range, Infield Error, Infield Arm, DP, CatcherAbil, Catcher Arm, OF Range, OF Error, OF Arm, PExp, CExp, 1bExp, 2bExp, 3bExp, ssExp, LFExp, CFExp, RFExp, use expected, expected level, expected ab, expected avg, expected 2b, expected 3b, expected hr, expected bb, expected k, expected hbp, contract y1, contract y2, contract y3, contract y4, contract y5, contract y6, contract y7, contract y8, contract y9, contract y10, contract current year (0 = first year), extension y1, extension y2, extension y3, extension y4, extension y5, extension y6, extension y7, extension y8, extension y9, extension y10, greed, loyalty, play_for_winner, work_ethic, intelligence, leader ability, Stuff Overall, Stuff R/L split, Stuff Pot., Fastball (scale: 0-5), Slider, Curveball, Changeup, Cutter, Sinker, Splitter, Forkball, Screwball, Circlechange, Knucklecurve, Knuckleball, Fastball Pot.(scale: 0-5), Slider Pot., Curveball Pot., Changeup Pot., Cutter Pot., Sinker Pot., Splitter Pot., Forkball Pot., Screwball Pot., Circlechange Pot., Knucklecurve Pot., Knuckleball Pot., Hitter 3B/2B ratio, pbabip, lahman_id, bbref_id, bbrefminors_id, twitter_handle, Catcher Framing, Velo Pot
//NOTE: Player and team names are purely cosmetic and will not be used when importing rosters from this file!
// Baltimore Orioles, ID = 3
95,0,3,Baltimore Orioles,Major League Baseball,Staumont,Josh,,63,21,12,1993,206,The United States,42397,La Habra,4,191,197,1,1,12,905,905,8,2,109,84,22,134,133,82,104,82,21,126,125,80,106,86,21,128,127,81,2,1,1,36,18,31,56,102,32,442,270,459,275,458,271,4,10,1,21,78,52,13,4,40,56,58,66,5,7,30,6,43,200,0,0,0,0,0,0,0,0,0,1,550,.242,0,0,11,75,112,4,740000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,126,99,129,105,100,406,1.0222,415,400,354,267,0,0,0,0,0,0,0,0,0,399,360,265,0,0,0,0,0,0,0,0,0,0,128,staumjo01,staumjo01,staumo000jos,,5,14,eol
850,0,89,Delmarva Shorebirds,Carolina League,Gonzalez,Misael,,18,23,5,2001,151,Puerto Rico,7740,Bayamón,5,183,177,1,1,8,0,0,4,0,211,312,235,323,209,225,202,300,242,319,205,211,299,321,245,382,283,315,8,1,1,76,85,138,132,119,104,7,2,7,2,2,2,21,15,30,1,0,43,10,3,62,75,88,48,2,1,119,121,96,0,0,0,0,0,0,50,150,75,0,4,550,.171,13,1,5,34,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,98,106,122,111,109,1,1.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,,,gonzal000mis,,2,10,eol
1143,0,89,Delmarva Shorebirds,Carolina League,Rodriguez,Christian,,50,12,1,2002,206,The United States,15159,Corona,5,198,220,1,1,11,0,0,1,0,111,100,57,88,97,125,111,100,57,88,97,125,111,100,57,88,97,125,1,2,2,22,16,15,37,130,14,277,270,291,275,398,366,6,7,3,117,66,49,12,4,104,64,90,29,2,8,43,53,23,200,0,0,0,0,0,0,0,0,0,4,550,.302,0,0,28,75,79,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,109,103,113,146,53,284,1.0111,367,166,137,91,100,0,134,91,0,0,0,0,0,312,285,243,241,0,286,242,0,0,0,0,0,0,82,,,rodrig019chr,,2,12,eol
1389,0,67,Chesapeake Baysox,Eastern League,Newton,Shervyen,,2,24,4,1999,231,Curaçao,87084,Willemstad,1,191,237,3,1,5,0,0,7,0,318,373,374,309,209,394,323,355,332,324,202,405,352,382,385,382,305,404,4,2,2,124,15,32,127,132,76,2,2,2,2,2,2,1,1,1,1,0,1,10,3,122,94,154,49,1,1,98,85,121,0,0,196,0,199,123,0,0,0,0,3,550,.215,19,3,10,34,183,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,111,100,98,90,94,1,1.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,,,newton000she,,1,10,eol
1503,0,3,Baltimore Orioles,Major League Baseball,Cowser,Colton,,17,20,3,2000,206,The United States,32688,Houston,4,188,220,2,1,7,231,232,4,1,384,393,399,433,318,436,404,406,422,446,338,449,433,447,417,444,388,455,7,2,0,140,67,141,143,72,36,2,2,2,2,2,2,13,15,30,1,0,42,2,4,68,74,126,66,5,7,127,145,121,0,0,0,0,0,0,200,200,160,0,1,550,.266,26,4,18,65,140,7,740000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,23,103,132,122,68,1,.9756,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79,cowseco01,cowseco01,cowser000col,@CowserColton,5,2,eol
1564,0,41,Norfolk Tides,International League,Ardoin,Silas,,4,19,9,2000,206,The United States,43185,Lake Charles,4,180,217,1,1,2,0,0,3,0,354,286,165,438,359,354,332,308,137,395,308,362,362,347,301,412,333,396,5,0,0,59,34,114,62,86,30,2,2,2,2,2,2,13,15,30,1,0,44,2,3,41,49,98,26,123,138,78,75,106,0,200,75,0,0,0,0,0,0,0,2,550,.214,17,1,1,52,145,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,77,173,150,160,87,1,.9302,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,,,ardoin000sil,@SilasArdoin5,130,2,eol
18579,0,3,Baltimore Orioles,Major League Baseball,Cousins,Jake,,61,14,7,1994,206,The United States,69018,St. Charles,4,193,195,1,1,12,443,443,7,1,101,84,26,93,92,107,98,82,25,91,88,105,99,82,25,91,89,106,0,1,1,29,17,41,28,69,20,359,301,401,313,388,306,17,8,1,30,113,47,15,3,54,113,105,44,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,1,550,.223,0,0,19,68,147,17,740000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,99,97,152,132,121,483,1.0323,484,384,469,0,231,0,0,0,0,0,0,0,0,384,470,0,231,0,0,0,0,0,0,0,0,0,156,cousija01,cousija01,cousin000jak,@Jake__Cousins,0,15,eol
18607,0,41,Norfolk Tides,International League,Rivera,Emmanuel,,26,29,6,1996,151,Puerto Rico,49061,Mayagüez,5,188,223,1,1,3,542,542,9,2,403,390,363,378,415,392,394,384,353,373,405,386,399,390,356,376,409,390,5,2,2,143,27,34,143,110,53,196,164,206,167,201,166,13,12,4,34,40,38,3,3,114,114,129,62,5,3,96,92,112,8,0,200,0,200,0,0,0,0,0,2,550,.255,24,4,11,44,105,5,740000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,102,77,100,113,99,88,1.0094,88,251,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,78,riverem01,riverem01,rivera000emm,,5,3,eol
19237,0,41,Norfolk Tides,International League,Soto,Livan,,73,22,6,2000,210,Venezuela,83920,Valencia,5,178,165,2,1,5,94,94,8,0,387,313,175,399,380,400,413,325,190,413,411,414,419,340,197,422,413,422,4,0,0,119,44,125,120,114,109,5,2,5,2,5,2,13,15,30,1,0,46,10,3,131,159,124,132,8,8,102,107,112,0,0,0,151,160,200,0,0,0,0,2,550,.251,20,3,3,53,106,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,149,89,132,101,139,1,1.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,sotoli01,sotoli01,soto--000liv,,8,10,eol
19400,0,3,Baltimore Orioles,Major League Baseball,Akin,Keegan,,45,1,4,1995,206,The United States,50141,Midland,4,183,241,2,2,12,788,788,8,2,150,100,105,72,176,99,153,104,113,78,184,103,153,103,111,76,182,102,3,2,2,44,33,38,62,118,73,452,459,418,444,427,451,2,5,1,43,121,41,14,3,61,98,85,45,1,1,2,2,2,200,0,0,0,0,0,0,0,0,0,1,550,.246,0,0,17,35,129,2,825000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,106,59,104,111,122,443,.9212,451,429,401,0,307,0,0,0,0,0,0,0,0,438,405,0,307,0,0,0,0,0,0,0,0,0,113,akinke01,akinke01,akin--000kee,@KeeganAkin,1,14,eol
